label,precision,recall,f1,support
0,0.5261233019853709,0.5484749455337691,0.5370666666666667,1836
1,0.6826983135540288,0.545954045954046,0.6067166250346933,2002
2,0.380039656311963,0.6460674157303371,0.47856845609654597,890
3,0.7605820105820106,0.5429650613786591,0.6336088154269972,1059
4,0.9309153713298791,0.9410737669140113,0.9359670067288908,2291
5,0.9821428571428571,0.9892086330935251,0.985663082437276,278
6,0.8724696356275303,0.8509378084896347,0.8615692153923038,1013
7,0.7774122807017544,0.7256908904810645,0.7506617257808365,977
8,0.646125116713352,0.7604395604395604,0.6986370519939424,910
9,0.5980861244019139,0.499001996007984,0.544069640914037,501
10,0.6085192697768763,0.5366726296958855,0.5703422053231939,559
11,0.5607142857142857,0.6097087378640776,0.5841860465116279,515
12,0.46619217081850534,0.47985347985347987,0.4729241877256318,273
13,0.9990029910269193,1.0,0.9995012468827931,1002
