label,precision,recall,f1,support
0,0.5348314606741573,0.5185185185185185,0.5265486725663717,1836
1,0.6494091164884637,0.5764235764235764,0.6107435829584547,2002
2,0.38035087719298244,0.6089887640449438,0.46825053995680344,890
3,0.7267080745341615,0.5524079320113314,0.6276824034334764,1059
4,0.9249786871270247,0.947184635530336,0.9359499676514988,2291
5,0.9821428571428571,0.9892086330935251,0.985663082437276,278
6,0.8822916666666667,0.8361303060217177,0.858590978205778,1013
7,0.7926689576174112,0.7082906857727738,0.7481081081081081,977
8,0.635122838944495,0.7670329670329671,0.6948730711796914,910
9,0.5943396226415094,0.5029940119760479,0.5448648648648649,501
10,0.5831873905429071,0.5957066189624329,0.5893805309734513,559
11,0.5756972111553785,0.5611650485436893,0.5683382497541789,515
12,0.4674329501915709,0.4468864468864469,0.45692883895131087,273
13,0.9990029910269193,1.0,0.9995012468827931,1002
