class,base_f1,new_f1,delta,support
read_file,0.49426605504587157,0.4947916666666667,0.0005256116207951189,1836
grep_search,0.5586622807017544,0.5544227059796087,-0.004239574722145645,2002
list_directory,0.4160074453234062,0.41735918744228995,0.0013517421188837253,890
glob_pattern,0.5637982195845698,0.563751831949194,-4.6387635375788605e-05,1059
edit_file,0.8774597495527728,0.8852313167259787,0.007771567173205818,2291
write_file,0.978494623655914,0.978494623655914,0.0,278
apply_patch,0.7586520947176685,0.7754725680036884,0.016820473286019877,1013
run_bash,0.7333682556312205,0.7416317991631799,0.00826354353195935,977
run_tests,0.6764705882352942,0.6861924686192469,0.009721880383952719,910
lint_or_typecheck,0.5502645502645502,0.5664028144239226,0.016138264159372362,501
ask_user,0.56036866359447,0.5577100646352724,-0.0026585989591976222,559
plan_task,0.5429141716566867,0.546,0.0030858283433133904,515
web_search,0.5325077399380805,0.5308641975308642,-0.001643542407216314,273
respond_only,0.9964982491245623,0.9964982491245623,0.0,1002
