class,base_f1,new_f1,delta,support
read_file,0.49426605504587157,0.48973691818444637,-0.004529136861425198,1836
grep_search,0.5586622807017544,0.5551267916207276,-0.0035354890810267436,2002
list_directory,0.4160074453234062,0.41420664206642066,-0.0018008032569855614,890
glob_pattern,0.5637982195845698,0.5616438356164384,-0.0021543839681313903,1059
edit_file,0.8774597495527728,0.8770053475935828,-0.00045440195918999837,2291
write_file,0.978494623655914,0.9802513464991023,0.0017567228431882853,278
apply_patch,0.7586520947176685,0.7582116788321168,-0.00044041588555165934,1013
run_bash,0.7333682556312205,0.7291558777835319,-0.004212377847688686,977
run_tests,0.6764705882352942,0.6775381378221988,0.0010675495869046925,910
lint_or_typecheck,0.5502645502645502,0.5472370766488414,-0.0030274736157088755,501
ask_user,0.56036866359447,0.5656192236598891,0.00525056006541913,559
plan_task,0.5429141716566867,0.5429141716566867,0.0,515
web_search,0.5325077399380805,0.5266457680250783,-0.005861971913002195,273
respond_only,0.9964982491245623,0.996,-0.0004982491245623111,1002
