class,base_f1,new_f1,delta,support
read_file,0.49426605504587157,0.4974123059229442,0.003146250877072654,1836
grep_search,0.5586622807017544,0.558012558012558,-0.0006497226891963859,2002
list_directory,0.4160074453234062,0.4138568129330254,-0.0021506323903808244,890
glob_pattern,0.5637982195845698,0.5688800792864221,0.005081859701852376,1059
edit_file,0.8774597495527728,0.8748600850682785,-0.002599664484494335,2291
write_file,0.978494623655914,0.9767441860465116,-0.001750437609402411,278
apply_patch,0.7586520947176685,0.755575785161584,-0.003076309556084511,1013
run_bash,0.7333682556312205,0.7240479916536254,-0.009320263977595111,977
run_tests,0.6764705882352942,0.6783068783068783,0.0018362900715841457,910
lint_or_typecheck,0.5502645502645502,0.5509300265721878,0.0006654763076375803,501
ask_user,0.56036866359447,0.5547309833024119,-0.005637680292058134,559
plan_task,0.5429141716566867,0.5387673956262425,-0.00414677603044411,515
web_search,0.5325077399380805,0.5325077399380805,0.0,273
respond_only,0.9964982491245623,0.9974987493746873,0.0010005002501249916,1002
