id,session,fold
sess_sim_20260522_024730-step_08,sess_sim_20260522_024730,1
sess_sim_20260522_006284-step_01,sess_sim_20260522_006284,3
sess_sim_20260522_002193-step_06,sess_sim_20260522_002193,1
sess_sim_20260522_043051-step_12,sess_sim_20260522_043051,4
sess_sim_20260522_041108-step_01,sess_sim_20260522_041108,0
sess_sim_20260522_014415-step_06,sess_sim_20260522_014415,0
sess_au_050092_004-step_04,sess_au_050092_004,4
sess_sim_20260522_027895-step_06,sess_sim_20260522_027895,0
sess_sim_20260522_014735-step_05,sess_sim_20260522_014735,3
sess_sim_20260522_023347-step_07,sess_sim_20260522_023347,3
sess_sim_20260522_012222-step_05,sess_sim_20260522_012222,2
sess_sim_20260522_028750-step_02,sess_sim_20260522_028750,2
sess_sim_20260522_014833-step_03,sess_sim_20260522_014833,3
sess_au_007752_002-step_03,sess_au_007752_002,1
sess_sim_20260522_019243-step_05,sess_sim_20260522_019243,2
sess_sim_20260522_045933-step_04,sess_sim_20260522_045933,1
sess_sim_20260522_010306-step_10,sess_sim_20260522_010306,4
sess_sim_20260522_004709-step_10,sess_sim_20260522_004709,3
sess_sim_20260522_012501-step_06,sess_sim_20260522_012501,4
sess_sim_20260522_015602-step_01,sess_sim_20260522_015602,3
sess_sim_20260522_006005-step_04,sess_sim_20260522_006005,4
sess_sim_20260522_025078-step_06,sess_sim_20260522_025078,4
sess_sim_20260522_011830-step_08,sess_sim_20260522_011830,4
sess_sim_20260522_028741-step_07,sess_sim_20260522_028741,2
sess_sim_20260522_013187-step_06,sess_sim_20260522_013187,3
sess_sim_20260522_015076-step_05,sess_sim_20260522_015076,2
sess_sim_20260522_017658-step_09,sess_sim_20260522_017658,0
sess_sim_20260522_023744-step_08,sess_sim_20260522_023744,2
sess_sim_20260522_033776-step_09,sess_sim_20260522_033776,0
sess_sim_20260522_037060-step_04,sess_sim_20260522_037060,0
sess_sim_20260522_001394-step_06,sess_sim_20260522_001394,1
sess_sim_20260522_006735-step_02,sess_sim_20260522_006735,3
sess_sim_20260522_012945-step_04,sess_sim_20260522_012945,4
sess_sim_20260522_040534-step_01,sess_sim_20260522_040534,1
sess_sim_20260522_036847-step_04,sess_sim_20260522_036847,3
sess_sim_20260522_007984-step_04,sess_sim_20260522_007984,0
sess_sim_20260522_039081-step_04,sess_sim_20260522_039081,3
sess_sim_20260522_023995-step_03,sess_sim_20260522_023995,0
sess_sim_20260522_030698-step_17,sess_sim_20260522_030698,1
sess_sim_20260522_023659-step_01,sess_sim_20260522_023659,1
sess_sim_20260522_044871-step_10,sess_sim_20260522_044871,2
sess_sim_20260522_036955-step_01,sess_sim_20260522_036955,1
sess_sim_20260522_038914-step_10,sess_sim_20260522_038914,1
sess_sim_20260522_016747-step_09,sess_sim_20260522_016747,2
sess_sim_20260522_039778-step_06,sess_sim_20260522_039778,4
sess_sim_20260522_021918-step_08,sess_sim_20260522_021918,4
sess_sim_20260522_017045-step_04,sess_sim_20260522_017045,3
sess_sim_20260522_036890-step_10,sess_sim_20260522_036890,0
sess_sim_20260522_011617-step_03,sess_sim_20260522_011617,1
sess_sim_20260522_038428-step_07,sess_sim_20260522_038428,4
sess_sim_20260522_007592-step_06,sess_sim_20260522_007592,3
sess_sim_20260522_018918-step_11,sess_sim_20260522_018918,1
sess_au_794157_002-step_01,sess_au_794157_002,0
sess_sim_20260522_029653-step_01,sess_sim_20260522_029653,4
sess_sim_20260522_041366-step_03,sess_sim_20260522_041366,4
sess_sim_20260522_044584-step_05,sess_sim_20260522_044584,2
sess_sim_20260522_001537-step_02,sess_sim_20260522_001537,3
sess_sim_20260522_014003-step_03,sess_sim_20260522_014003,3
sess_sim_20260522_037457-step_09,sess_sim_20260522_037457,1
sess_sim_20260522_041039-step_07,sess_sim_20260522_041039,0
sess_sim_20260522_045301-step_02,sess_sim_20260522_045301,0
sess_sim_20260522_019347-step_06,sess_sim_20260522_019347,3
sess_sim_20260522_014063-step_02,sess_sim_20260522_014063,2
sess_sim_20260522_013645-step_06,sess_sim_20260522_013645,1
sess_sim_20260522_034376-step_02,sess_sim_20260522_034376,4
sess_sim_20260522_030215-step_02,sess_sim_20260522_030215,2
sess_sim_20260522_003930-step_07,sess_sim_20260522_003930,3
sess_sim_20260522_006088-step_01,sess_sim_20260522_006088,3
sess_sim_20260522_014757-step_12,sess_sim_20260522_014757,0
sess_sim_20260522_024301-step_05,sess_sim_20260522_024301,2
sess_sim_20260522_000779-step_03,sess_sim_20260522_000779,4
sess_sim_20260522_013227-step_09,sess_sim_20260522_013227,0
sess_au_425554_002-step_08,sess_au_425554_002,0
sess_sim_20260522_001065-step_09,sess_sim_20260522_001065,0
sess_sim_20260522_036043-step_06,sess_sim_20260522_036043,3
sess_sim_20260522_041494-step_01,sess_sim_20260522_041494,4
sess_sim_20260522_039539-step_02,sess_sim_20260522_039539,2
sess_sim_20260522_002845-step_01,sess_sim_20260522_002845,1
