feature,value,action,support,count,p_action_given_value,global_p_action,lift
open_profile,none,read_file,23498,4550,0.19363350072346583,0.13224285714285713,1.4642265367443674
open_profile,none,grep_search,23498,3057,0.13009617839816154,0.1416,0.9187583220209148
open_profile,none,list_directory,23498,3405,0.14490594944250573,0.061842857142857144,2.3431315456168633
open_profile,none,glob_pattern,23498,2044,0.08698612647884926,0.07548571428571428,1.1523521675850585
open_profile,none,edit_file,23498,2163,0.09205038726700145,0.15958571428571428,0.5768084422782295
open_profile,none,write_file,23498,1408,0.05991999319090986,0.021157142857142857,2.8321401238107295
open_profile,none,apply_patch,23498,341,0.014511873350923483,0.0689,0.21062225473038435
open_profile,none,run_bash,23498,2161,0.09196527364030982,0.0724,1.2702385861921244
open_profile,none,run_tests,23498,370,0.015746020937952167,0.06515714285714286,0.24166223759189906
open_profile,none,lint_or_typecheck,23498,147,0.00625585156183505,0.032614285714285714,0.19181323229454816
open_profile,none,ask_user,23498,1232,0.05242999404204613,0.038585714285714286,1.358792885206675
open_profile,none,plan_task,23498,1724,0.07336794620818793,0.038271428571428574,1.917042267477848
open_profile,none,web_search,23498,270,0.0114903396033705,0.018185714285714284,0.6318332853385192
open_profile,none,respond_only,23498,626,0.02664056515448123,0.07397142857142858,0.36014668999878063
open_profile,py_only,read_file,11393,1198,0.10515228649170544,0.13224285714285713,0.7951453013308178
open_profile,py_only,grep_search,11393,1624,0.1425436671640481,0.1416,1.006664316130283
open_profile,py_only,list_directory,11393,272,0.023874308786096726,0.061842857142857144,0.3860479591191432
open_profile,py_only,glob_pattern,11393,805,0.07065742122355832,0.07548571428571428,0.9360369957700763
open_profile,py_only,edit_file,11393,2202,0.19327657333450365,0.15958571428571428,1.211114504826359
open_profile,py_only,write_file,11393,17,0.0014921442991310454,0.021157142857142857,0.07052673932422227
open_profile,py_only,apply_patch,11393,1010,0.0886509260071974,0.0689,1.2866607548214426
open_profile,py_only,run_bash,11393,658,0.05775476169577811,0.0724,0.7977177029803606
open_profile,py_only,run_tests,11393,1080,0.09479504959185464,0.06515714285714286,1.4548681147620752
open_profile,py_only,lint_or_typecheck,11393,517,0.04537874133239709,0.032614285714285714,1.3913762125570723
open_profile,py_only,ask_user,11393,362,0.03177389625208461,0.038585714285714286,0.8234626944264801
open_profile,py_only,plan_task,11393,230,0.02018783463530238,0.038271428571428574,0.5274910132404503
open_profile,py_only,web_search,11393,312,0.027385236548758008,0.018185714285714284,1.5058653247549574
open_profile,py_only,respond_only,11393,1106,0.09707715263758449,0.07397142857142858,1.3123601167691992
open_profile,js_only,read_file,6527,658,0.10081201164394056,0.13224285714285713,0.7623248152831198
open_profile,js_only,grep_search,6527,847,0.129768653286349,0.1416,0.9164452915702613
open_profile,js_only,list_directory,6527,116,0.017772330320208366,0.061842857142857144,0.2873788686566379
open_profile,js_only,glob_pattern,6527,368,0.05638118584341964,0.07548571428571428,0.7469120001967023
open_profile,js_only,edit_file,6527,1359,0.20821204228588938,0.15958571428571428,1.3047035144581736
open_profile,js_only,write_file,6527,23,0.0035238241152137275,0.021157142857142857,0.1665548197602707
open_profile,js_only,apply_patch,6527,693,0.106174352688831,0.0689,1.540992056441669
open_profile,js_only,run_bash,6527,415,0.06358204381798682,0.0724,0.8782050251103152
open_profile,js_only,run_tests,6527,450,0.06894438486287728,0.06515714285714286,1.0581247402765643
open_profile,js_only,lint_or_typecheck,6527,513,0.0785965987436801,0.032614285714285714,2.4098825720795474
open_profile,js_only,ask_user,6527,165,0.025279607783055002,0.038585714285714286,0.655154588972177
open_profile,js_only,plan_task,6527,112,0.017159491343649455,0.038271428571428574,0.4483629690389928
open_profile,js_only,web_search,6527,213,0.03263367550176191,0.018185714285714284,1.7944676238203723
open_profile,js_only,respond_only,6527,595,0.09115979776313773,0.07397142857142858,1.2323649755541988
open_profile,mixed,read_file,4143,372,0.08979000724112962,0.13224285714285713,0.6789781254055389
open_profile,mixed,grep_search,4143,659,0.15906348056963554,0.1416,1.123329665039799
open_profile,mixed,list_directory,4143,68,0.016413227130098962,0.061842857142857144,0.2654021480958483
open_profile,mixed,glob_pattern,4143,281,0.06782524740526188,0.07548571428571428,0.8985176605541886
open_profile,mixed,edit_file,4143,624,0.15061549601737872,0.15958571428571428,0.9437905936099286
open_profile,mixed,write_file,4143,6,0.001448225923244026,0.021157142857142857,0.06845092142274262
open_profile,mixed,apply_patch,4143,596,0.14385710837557325,0.0689,2.087911587453893
open_profile,mixed,run_bash,4143,232,0.05599806903210234,0.0724,0.7734539921561095
open_profile,mixed,run_tests,4143,391,0.09437605599806903,0.06515714285714286,1.4484376057585688
open_profile,mixed,lint_or_typecheck,4143,175,0.04223992276128409,0.032614285714285714,1.2951356080989427
open_profile,mixed,ask_user,4143,119,0.028723147477673183,0.038585714285714286,0.7443984907208896
open_profile,mixed,plan_task,4143,78,0.01882693700217234,0.038271428571428574,0.4919319112176423
open_profile,mixed,web_search,4143,99,0.02389572773352643,0.018185714285714284,1.3139834574602123
open_profile,mixed,respond_only,4143,443,0.10692734733285059,0.07397142857142858,1.4455222698531365
open_profile,rs_only,read_file,2866,283,0.09874389392882066,0.13224285714285713,0.7466860294930805
open_profile,rs_only,grep_search,2866,407,0.14200976971388696,0.1416,1.002893853911631
open_profile,rs_only,list_directory,2866,51,0.01779483600837404,0.061842857142857144,0.2877427859981942
open_profile,rs_only,glob_pattern,2866,180,0.0628053035589672,0.07548571428571428,0.8320157549446828
open_profile,rs_only,edit_file,2866,564,0.19678995115143055,0.15958571428571428,1.2331301209023489
open_profile,rs_only,write_file,2866,1,0.0003489183531053733,0.021157142857142857,0.01649175200363007
open_profile,rs_only,apply_patch,2866,258,0.09002093510118632,0.0689,1.3065447765048812
open_profile,rs_only,run_bash,2866,169,0.058967201674808095,0.0724,0.8144641115304985
open_profile,rs_only,run_tests,2866,334,0.11653872993719469,0.06515714285714286,1.7885794991457198
open_profile,rs_only,lint_or_typecheck,2866,155,0.05408234473133287,0.032614285714285714,1.6582409685472188
open_profile,rs_only,ask_user,2866,107,0.037334263782274946,0.038585714285714286,0.9675669991703985
open_profile,rs_only,plan_task,2866,80,0.027913468248429867,0.038271428571428574,0.7293552733818927
open_profile,rs_only,web_search,2866,0,0.0,0.018185714285714284,0.0
open_profile,rs_only,respond_only,2866,277,0.09665038381018842,0.07397142857142858,1.306590742895556
open_profile,java_only,read_file,2183,235,0.10765002290426019,0.13224285714285713,0.8140327971587138
open_profile,java_only,grep_search,2183,289,0.13238662391204764,0.1416,0.934933784689602
open_profile,java_only,list_directory,2183,37,0.01694915254237288,0.061842857142857144,0.2740680706782402
open_profile,java_only,glob_pattern,2183,159,0.0728355474118186,0.07548571428571428,0.9648918090134939
open_profile,java_only,edit_file,2183,414,0.1896472743930371,0.15958571428571428,1.1883725008963029
open_profile,java_only,write_file,2183,1,0.0004580852038479157,0.021157142857142857,0.021651562639671912
open_profile,java_only,apply_patch,2183,191,0.0874942739349519,0.0689,1.2698733517409564
open_profile,java_only,run_bash,2183,108,0.049473202015574896,0.0724,0.6833315195521394
open_profile,java_only,run_tests,2183,290,0.13284470911589555,0.06515714285714286,2.0388357022829835
open_profile,java_only,lint_or_typecheck,2183,122,0.055886394869445716,0.032614285714285714,1.7135556902589575
open_profile,java_only,ask_user,2183,82,0.03756298671552909,0.038585714285714286,0.9734946575664702
open_profile,java_only,plan_task,2183,55,0.025194686211635363,0.038271428571428574,0.658315802469009
open_profile,java_only,web_search,2183,0,0.0,0.018185714285714284,0.0
open_profile,java_only,respond_only,2183,200,0.09161704076958314,0.07397142857142858,1.2385463217208998
open_profile,json_only,read_file,1782,161,0.09034792368125702,0.13224285714285713,0.6831970030990593
open_profile,json_only,grep_search,1782,242,0.13580246913580246,0.1416,0.9590569854223338
open_profile,json_only,list_directory,1782,38,0.02132435465768799,0.061842857142857144,0.34481515962997444
open_profile,json_only,glob_pattern,1782,115,0.06453423120089787,0.07548571428571428,0.8549197925932723
open_profile,json_only,edit_file,1782,368,0.20650953984287318,0.15958571428571428,1.2940352510071724
open_profile,json_only,write_file,1782,1,0.0005611672278338945,0.021157142857142857,0.02652377174096733
open_profile,json_only,apply_patch,1782,183,0.1026936026936027,0.0689,1.4904731885863962
open_profile,json_only,run_bash,1782,112,0.06285072951739619,0.0724,0.8681039988590633
open_profile,json_only,run_tests,1782,154,0.08641975308641975,0.06515714285714286,1.3263281552399435
open_profile,json_only,lint_or_typecheck,1782,110,0.06172839506172839,0.032614285714285714,1.892679655856762
open_profile,json_only,ask_user,1782,55,0.030864197530864196,0.038585714285714286,0.7998866446355031
open_profile,json_only,plan_task,1782,32,0.017957351290684626,0.038271428571428574,0.46921037340348026
open_profile,json_only,web_search,1782,49,0.02749719416386083,0.018185714285714284,1.5120216743678383
open_profile,json_only,respond_only,1782,162,0.09090909090909091,0.07397142857142858,1.228975736507602
open_profile,go_only,read_file,1774,176,0.0992108229988726,0.13224285714285713,0.7502168747889254
open_profile,go_only,grep_search,1774,271,0.1527621195039459,0.1416,1.0788285275702394
open_profile,go_only,list_directory,1774,37,0.020856820744081173,0.061842857142857144,0.33725512868692126
open_profile,go_only,glob_pattern,1774,140,0.07891770011273957,0.07548571428571428,1.0454653686396236
open_profile,go_only,edit_file,1774,333,0.18771138669673054,0.15958571428571428,1.1762417929255338
open_profile,go_only,write_file,1774,7,0.003945885005636978,0.021157142857142857,0.18650368021241626
open_profile,go_only,apply_patch,1774,165,0.09301014656144306,0.0689,1.3499295582212345
open_profile,go_only,run_bash,1774,159,0.08962795941375423,0.0724,1.237955240521467
open_profile,go_only,run_tests,1774,219,0.12344983089064261,0.06515714285714286,1.894647700579913
open_profile,go_only,lint_or_typecheck,1774,0,0.0,0.032614285714285714,0.0
open_profile,go_only,ask_user,1774,55,0.03100338218714769,0.038585714285714286,0.8034937997409619
open_profile,go_only,plan_task,1774,49,0.02762119503945885,0.038271428571428574,0.7217184220836579
open_profile,go_only,web_search,1774,0,0.0,0.018185714285714284,0.0
open_profile,go_only,respond_only,1774,163,0.09188275084554678,0.07397142857142858,1.242138385320254
open_profile,md_only,read_file,1443,153,0.10602910602910603,0.13224285714285713,0.8017756748447038
open_profile,md_only,grep_search,1443,239,0.16562716562716562,0.1416,1.1696833730732035
open_profile,md_only,list_directory,1443,19,0.013167013167013167,0.061842857142857144,0.21291081582141874
open_profile,md_only,glob_pattern,1443,99,0.06860706860706861,0.07548571428571428,0.9088748679967454
open_profile,md_only,edit_file,1443,293,0.20304920304920304,0.15958571428571428,1.2723520019196324
open_profile,md_only,write_file,1443,1,0.000693000693000693,0.021157142857142857,0.03275492809591392
open_profile,md_only,apply_patch,1443,153,0.10602910602910603,0.0689,1.5388839772003777
open_profile,md_only,run_bash,1443,98,0.06791406791406791,0.0724,0.9380396120727612
open_profile,md_only,run_tests,1443,113,0.07830907830907831,0.06515714285714286,1.2018494807356899
open_profile,md_only,lint_or_typecheck,1443,45,0.031185031185031187,0.032614285714285714,0.956177040276909
open_profile,md_only,ask_user,1443,43,0.0297990297990298,0.038585714285714286,0.7722814090825938
open_profile,md_only,plan_task,1443,21,0.014553014553014554,0.038271428571428574,0.38025793904853256
open_profile,md_only,web_search,1443,18,0.012474012474012475,0.018185714285714284,0.6859237024201675
open_profile,md_only,respond_only,1443,148,0.10256410256410256,0.07397142857142858,1.386536728367551
open_profile,vue_only,read_file,1379,146,0.10587382160986222,0.13224285714285713,0.8006014381214601
open_profile,vue_only,grep_search,1379,177,0.12835387962291517,0.1416,0.9064539521392314
open_profile,vue_only,list_directory,1379,28,0.02030456852791878,0.061842857142857144,0.3283252014216481
open_profile,vue_only,glob_pattern,1379,81,0.05873821609862219,0.07548571428571428,0.7781368521770541
open_profile,vue_only,edit_file,1379,287,0.20812182741116753,0.15958571428571428,1.3041382077505799
open_profile,vue_only,write_file,1379,4,0.0029006526468455403,0.021157142857142857,0.13710039519188916
open_profile,vue_only,apply_patch,1379,106,0.07686729514140682,0.0689,1.115635633402131
open_profile,vue_only,run_bash,1379,91,0.06598984771573604,0.0724,0.9114619850239785
open_profile,vue_only,run_tests,1379,148,0.10732414793328499,0.06515714285714286,1.647158595775038
open_profile,vue_only,lint_or_typecheck,1379,79,0.05728788977519942,0.032614285714285714,1.7565275007726497
open_profile,vue_only,ask_user,1379,51,0.03698332124728064,0.038585714285714286,0.9584718575748408
open_profile,vue_only,plan_task,1379,24,0.01740391588107324,0.038271428571428574,0.4547495750933657
open_profile,vue_only,web_search,1379,30,0.021754894851341553,0.018185714285714284,1.19626287477919
open_profile,vue_only,respond_only,1379,127,0.09209572153734591,0.07397142857142858,1.245017479261146
open_profile,yaml_only,read_file,1317,151,0.11465451784358391,0.13224285714285713,0.8669997028249837
open_profile,yaml_only,grep_search,1317,285,0.2164009111617312,0.1416,1.5282550223286102
open_profile,yaml_only,list_directory,1317,29,0.02201974183750949,0.061842857142857144,0.35605958157211004
open_profile,yaml_only,glob_pattern,1317,131,0.09946848899012908,0.07548571428571428,1.3177127610350183
open_profile,yaml_only,edit_file,1317,239,0.18147304479878512,0.15958571428571428,1.1371509386728995
open_profile,yaml_only,write_file,1317,5,0.0037965072133637054,0.021157142857142857,0.17944328489902725
open_profile,yaml_only,apply_patch,1317,117,0.0888382687927107,0.0689,1.2893798083122017
open_profile,yaml_only,run_bash,1317,102,0.0774487471526196,0.0724,1.0697340766936407
open_profile,yaml_only,run_tests,1317,0,0.0,0.06515714285714286,0.0
open_profile,yaml_only,lint_or_typecheck,1317,31,0.023538344722854973,0.032614285714285714,0.7217188482697539
open_profile,yaml_only,ask_user,1317,36,0.02733485193621868,0.038585714285714286,0.7084189690985959
open_profile,yaml_only,plan_task,1317,24,0.018223234624145785,0.038271428571428574,0.4761576796156046
open_profile,yaml_only,web_search,1317,23,0.017463933181473046,0.018185714285714284,0.9603105441501283
open_profile,yaml_only,respond_only,1317,144,0.10933940774487472,0.07397142857142858,1.4781302707881865
open_profile,github_only,read_file,1176,104,0.08843537414965986,0.13224285714285713,0.6687345998137831
open_profile,github_only,grep_search,1176,196,0.16666666666666666,0.1416,1.1770244821092277
open_profile,github_only,list_directory,1176,25,0.021258503401360544,0.061842857142857144,0.34375034375034375
open_profile,github_only,glob_pattern,1176,88,0.07482993197278912,0.07548571428571428,0.9913124977470171
open_profile,github_only,edit_file,1176,235,0.19982993197278912,0.15958571428571428,1.2521793248675355
open_profile,github_only,write_file,1176,1,0.0008503401360544217,0.021157142857142857,0.040191633709527025
open_profile,github_only,apply_patch,1176,100,0.08503401360544217,0.0689,1.2341656546508297
open_profile,github_only,run_bash,1176,72,0.061224489795918366,0.0724,0.845642124253016
open_profile,github_only,run_tests,1176,115,0.0977891156462585,0.06515714285714286,1.500819577995636
open_profile,github_only,lint_or_typecheck,1176,47,0.039965986394557826,0.032614285714285714,1.2254135118786893
open_profile,github_only,ask_user,1176,44,0.03741496598639456,0.038585714285714286,0.9696585039050792
open_profile,github_only,plan_task,1176,24,0.02040816326530612,0.038271428571428574,0.533248013651149
open_profile,github_only,web_search,1176,18,0.015306122448979591,0.018185714285714284,0.8416563797553586
open_profile,github_only,respond_only,1176,107,0.09098639455782313,0.07397142857142858,1.2300207839025916
open_profile,txt_only,read_file,1096,118,0.10766423357664233,0.13224285714285713,0.8141402560618952
open_profile,txt_only,grep_search,1096,168,0.15328467153284672,0.1416,1.0825188667573922
open_profile,txt_only,list_directory,1096,20,0.01824817518248175,0.061842857142857144,0.29507328777401765
open_profile,txt_only,glob_pattern,1096,84,0.07664233576642336,0.07548571428571428,1.0153223890328607
open_profile,txt_only,edit_file,1096,209,0.1906934306569343,0.15958571428571428,1.1949279514802078
open_profile,txt_only,write_file,1096,1,0.0009124087591240876,0.021157142857142857,0.04312532960073338
open_profile,txt_only,apply_patch,1096,77,0.07025547445255474,0.0689,1.0196730689775724
open_profile,txt_only,run_bash,1096,75,0.06843065693430657,0.0724,0.945174819534621
open_profile,txt_only,run_tests,1096,88,0.08029197080291971,0.06515714285714286,1.2322819461092698
open_profile,txt_only,lint_or_typecheck,1096,35,0.03193430656934307,0.032614285714285714,0.9791508803565548
open_profile,txt_only,ask_user,1096,34,0.03102189781021898,0.038585714285714286,0.8039736566883853
open_profile,txt_only,plan_task,1096,35,0.03193430656934307,0.038271428571428574,0.8344163717260227
open_profile,txt_only,web_search,1096,56,0.051094890510948905,0.018185714285714284,2.8096169173341896
open_profile,txt_only,respond_only,1096,96,0.08759124087591241,0.07397142857142858,1.1841226074379816
open_profile,tf_only,read_file,912,109,0.11951754385964912,0.13224285714285713,0.9037731522280911
open_profile,tf_only,grep_search,912,198,0.21710526315789475,0.1416,1.5332292595896522
open_profile,tf_only,list_directory,912,15,0.01644736842105263,0.061842857142857144,0.26595421332263436
open_profile,tf_only,glob_pattern,912,93,0.10197368421052631,0.07548571428571428,1.3509004342802502
open_profile,tf_only,edit_file,912,169,0.18530701754385964,0.15958571428571428,1.161175474717588
open_profile,tf_only,write_file,912,1,0.0010964912280701754,0.021157142857142857,0.051826053993863794
open_profile,tf_only,apply_patch,912,77,0.08442982456140351,0.0689,1.2253965828941003
open_profile,tf_only,run_bash,912,85,0.09320175438596491,0.0724,1.287317049529902
open_profile,tf_only,run_tests,912,0,0.0,0.06515714285714286,0.0
open_profile,tf_only,lint_or_typecheck,912,0,0.0,0.032614285714285714,0.0
open_profile,tf_only,ask_user,912,42,0.046052631578947366,0.038585714285714286,1.1935150723903427
open_profile,tf_only,plan_task,912,27,0.029605263157894735,0.038271428571428574,0.7735604408557788
open_profile,tf_only,web_search,912,0,0.0,0.018185714285714284,0.0
open_profile,tf_only,respond_only,912,96,0.10526315789473684,0.07397142857142858,1.4230245370088022
open_profile,yml_only,read_file,905,91,0.1005524861878453,0.13224285714285713,0.7603623239871634
open_profile,yml_only,grep_search,905,149,0.16464088397790055,0.1416,1.1627181071885633
open_profile,yml_only,list_directory,905,11,0.012154696132596685,0.061842857142857144,0.1965416330057214
open_profile,yml_only,glob_pattern,905,77,0.08508287292817679,0.07548571428571428,1.1271387405322437
open_profile,yml_only,edit_file,905,178,0.19668508287292819,0.15958571428571428,1.232472992668962
open_profile,yml_only,write_file,905,0,0.0,0.021157142857142857,0.0
open_profile,yml_only,apply_patch,905,75,0.08287292817679558,0.0689,1.2028001186762782
open_profile,yml_only,run_bash,905,54,0.05966850828729282,0.0724,0.8241506669515581
open_profile,yml_only,run_tests,905,104,0.11491712707182321,0.06515714285714286,1.7636919305037546
open_profile,yml_only,lint_or_typecheck,905,26,0.028729281767955802,0.032614285714285714,0.8808802994993019
open_profile,yml_only,ask_user,905,23,0.02541436464088398,0.038585714285714286,0.6586469918037314
open_profile,yml_only,plan_task,905,22,0.02430939226519337,0.038271428571428574,0.6351838217855676
open_profile,yml_only,web_search,905,16,0.017679558011049725,0.018185714285714284,0.9721673690286574
open_profile,yml_only,respond_only,905,79,0.08729281767955802,0.07397142857142858,1.180088303895145
open_profile,config_only,read_file,858,86,0.10023310023310024,0.13224285714285713,0.757947176873395
open_profile,config_only,grep_search,858,137,0.15967365967365968,0.1416,1.1276388395032464
open_profile,config_only,list_directory,858,14,0.016317016317016316,0.061842857142857144,0.2638464176925715
open_profile,config_only,glob_pattern,858,64,0.07459207459207459,0.07548571428571428,0.9881614726429262
open_profile,config_only,edit_file,858,185,0.21561771561771562,0.15958571428571428,1.3511091301799385
open_profile,config_only,write_file,858,0,0.0,0.021157142857142857,0.0
open_profile,config_only,apply_patch,858,73,0.08508158508158509,0.0689,1.2348560969751101
open_profile,config_only,run_bash,858,41,0.047785547785547784,0.0724,0.6600213782534223
open_profile,config_only,run_tests,858,71,0.08275058275058275,0.06515714285714286,1.2700155212762096
open_profile,config_only,lint_or_typecheck,858,40,0.046620046620046623,0.032614285714285714,1.429436383444268
open_profile,config_only,ask_user,858,29,0.0337995337995338,0.038585714285714286,0.8759597800693691
open_profile,config_only,plan_task,858,15,0.017482517482517484,0.038271428571428574,0.4568033683375229
open_profile,config_only,web_search,858,29,0.0337995337995338,0.018185714285714284,1.8585760926687873
open_profile,config_only,respond_only,858,74,0.08624708624708624,0.07397142857142858,1.1659513397636223
open_profile,toml_only,read_file,822,84,0.10218978102189781,0.13224285714285713,0.7727432938892564
open_profile,toml_only,grep_search,822,114,0.1386861313868613,0.1416,0.9794218318281166
open_profile,toml_only,list_directory,822,9,0.010948905109489052,0.061842857142857144,0.17704397266441063
open_profile,toml_only,glob_pattern,822,58,0.0705596107055961,0.07548571428571428,0.9347412470461256
open_profile,toml_only,edit_file,822,175,0.21289537712895376,0.15958571428571428,1.334050344555256
open_profile,toml_only,write_file,822,0,0.0,0.021157142857142857,0.0
open_profile,toml_only,apply_patch,822,71,0.08637469586374696,0.0689,1.2536240328555437
open_profile,toml_only,run_bash,822,54,0.06569343065693431,0.0724,0.9073678267532362
open_profile,toml_only,run_tests,822,105,0.12773722627737227,0.06515714285714286,1.960448550628384
open_profile,toml_only,lint_or_typecheck,822,41,0.049878345498783457,0.032614285714285714,1.5293404226521428
open_profile,toml_only,ask_user,822,26,0.031630170316301706,0.038585714285714286,0.8197378460352164
open_profile,toml_only,plan_task,822,14,0.0170316301703163,0.038271428571428574,0.44502206492054536
open_profile,toml_only,web_search,822,2,0.0024330900243309003,0.018185714285714284,0.13379128177781857
open_profile,toml_only,respond_only,822,69,0.08394160583941605,0.07397142857142858,1.1347841654613988
open_profile,sh_only,read_file,754,85,0.11273209549071618,0.13224285714285713,0.8524626427946562
open_profile,sh_only,grep_search,754,129,0.17108753315649866,0.1416,1.208245290653239
open_profile,sh_only,list_directory,754,22,0.029177718832891247,0.061842857142857144,0.4718041853320368
open_profile,sh_only,glob_pattern,754,66,0.08753315649867374,0.07548571428571428,1.159598969513089
open_profile,sh_only,edit_file,754,153,0.20291777188328913,0.15958571428571428,1.2715284246558267
open_profile,sh_only,write_file,754,0,0.0,0.021157142857142857,0.0
open_profile,sh_only,apply_patch,754,63,0.08355437665782493,0.0689,1.212690517530115
open_profile,sh_only,run_bash,754,58,0.07692307692307693,0.0724,1.062473438164046
open_profile,sh_only,run_tests,754,0,0.0,0.06515714285714286,0.0
open_profile,sh_only,lint_or_typecheck,754,24,0.03183023872679045,0.032614285714285714,0.9759600135240174
open_profile,sh_only,ask_user,754,35,0.046419098143236075,0.038585714285714286,1.2030125398098945
open_profile,sh_only,plan_task,754,20,0.026525198938992044,0.038271428571428574,0.6930809726500347
open_profile,sh_only,web_search,754,13,0.017241379310344827,0.018185714285714284,0.9480727036324729
open_profile,sh_only,respond_only,754,86,0.11405835543766578,0.07397142857142858,1.5419244651673627
open_profile,sql_only,read_file,736,72,0.09782608695652174,0.13224285714285713,0.7397457153458488
open_profile,sql_only,grep_search,736,100,0.1358695652173913,0.1416,0.9595308278064357
open_profile,sql_only,list_directory,736,21,0.028532608695652172,0.061842857142857144,0.4613727439814396
open_profile,sql_only,glob_pattern,736,47,0.06385869565217392,0.07548571428571428,0.8459706085639997
open_profile,sql_only,edit_file,736,146,0.1983695652173913,0.15958571428571428,1.2430283381270604
open_profile,sql_only,write_file,736,1,0.001358695652173913,0.021157142857142857,0.0642192408184834
open_profile,sql_only,apply_patch,736,64,0.08695652173913043,0.0689,1.2620685303211963
open_profile,sql_only,run_bash,736,55,0.07472826086956522,0.0724,1.0321582993033869
open_profile,sql_only,run_tests,736,80,0.10869565217391304,0.06515714285714286,1.66820777289496
open_profile,sql_only,lint_or_typecheck,736,0,0.0,0.032614285714285714,0.0
open_profile,sql_only,ask_user,736,24,0.03260869565217391,0.038585714285714286,0.8450976288975097
open_profile,sql_only,plan_task,736,9,0.012228260869565218,0.038271428571428574,0.3195140951360826
open_profile,sql_only,web_search,736,35,0.04755434782608696,0.018185714285714284,2.6149287885515218
open_profile,sql_only,respond_only,736,82,0.11141304347826086,0.07397142857142858,1.5061631988177404
open_profile,gradle_only,read_file,698,61,0.08739255014326648,0.13224285714285713,0.6608489262210926
open_profile,gradle_only,grep_search,698,98,0.14040114613180515,0.1416,0.9915335178799799
open_profile,gradle_only,list_directory,698,18,0.025787965616045846,0.061842857142857144,0.4169918210032823
open_profile,gradle_only,glob_pattern,698,47,0.0673352435530086,0.07548571428571428,0.8920263150474266
open_profile,gradle_only,edit_file,698,145,0.20773638968481375,0.15958571428571428,1.3017229682156444
open_profile,gradle_only,write_file,698,2,0.0028653295128939827,0.021157142857142857,0.13543083450545496
open_profile,gradle_only,apply_patch,698,62,0.08882521489971347,0.0689,1.289190346875377
open_profile,gradle_only,run_bash,698,52,0.07449856733524356,0.0724,1.0289857366746347
